"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ANGEL1",627.326265813244,-0.602576589437407,0.118491089270856,1.41094147971694e-07,6.82275631330645e-07
"ANGEL2",417.74076439634,-0.270983469980586,0.0872831135924327,0.00156067968365377,0.00385481915309896
"ANGPT1",142.730820366081,-0.482028897326793,0.161005160600417,0.00145610648794918,0.00362025376127001
"ANGPT4",16.2506984660923,0.809641947223594,0.442838568430491,0.0111209210530869,0.0224053304210204
"ANGPTL2",594.572666558253,0.405369601004219,0.11772869713856,0.00037404076888336,0.00104645801254253
"ANGPTL4",6745.96255373012,2.93459501995989,0.14403619030384,1.83419423386376e-93,7.37346082013231e-91
"ANGPTL6",28.537036583904,0.925339909323195,0.266579382838415,9.12772073673359e-05,0.000286617719367316
"ANGPTL7",26.8953554511425,-0.458062245475538,0.338193116725013,0.0720081458338945,0.115789098500902
"ANK1",93.3812378757802,-0.117746264736537,0.185034917446607,0.486027577361316,0.577825190458145
"ANK2",4156.9611111446,0.597245969557044,0.101661961459876,1.20935811813265e-09,7.64672784236967e-09
"ANK3",5122.41547023311,0.179050393546199,0.109669797822045,0.0896498408345487,0.139867668882879
"ANKAR",24.1390989036437,-0.240909196942731,0.311449590627157,0.304747895597842,0.395756599523687
"ANKDD1A",62.703533904417,0.810007484419879,0.210342607507052,2.68467851188344e-05,9.21902700834689e-05
"ANKEF1",146.685057674369,0.142146289746031,0.133189716505552,0.263552869542067,0.350306495960029
"ANKFY1",1851.56611403915,0.433421375537434,0.0917220310934114,1.2723580840239e-06,5.32923309562222e-06
"ANKH",2939.72953573247,-0.43629323614093,0.0594522477529514,1.40490361550684e-13,1.37228436309497e-12
"ANKHD1",1274.26804809425,0.600241082831749,0.112518610038956,3.67116286361259e-08,1.91387136030985e-07
"ANKHD1-DT",13.029085828277,-0.137167921204372,0.338463031764903,0.554485698833057,0.640567487827447
"ANKHD1-EIF4EBP3",636.146094079548,0.298886634022243,0.256935427001344,0.163791138814337,0.235026707476114
"ANKIB1",1216.80984832976,0.392956190506871,0.0901402343334328,8.35069994631656e-06,3.12503438206178e-05
"ANKK1",9.56143333093119,-0.0663553395377468,0.34252632732987,0.769133919515286,0.824413853411834
"ANKLE1",24.5721868773346,0.503374988817309,0.291518712501522,0.0334319632763794,0.0590898110082759
"ANKLE2",1375.34808303908,-0.00411208025748167,0.0526439120770282,0.947553228487037,0.962504234001376
"ANKMY1",108.74666399284,0.379938746406543,0.161236877332396,0.0115493004680511,0.023183183030076
"ANKMY2",1020.57393153875,0.395082911605406,0.105255845537893,0.000110418946066424,0.000341624548373801
"ANKRA2",508.456867361768,0.117836865174886,0.0885441166003497,0.175215767040873,0.24885398647793
"ANKRD1",50115.0882517178,-0.950515763276952,0.376696456089307,0.00161604398654481,0.00397636503218112
"ANKRD10",1551.39388588817,0.424132320499733,0.0597025201078413,7.0844888472836e-13,6.47264662865457e-12
"ANKRD10-IT1",97.9739914126582,0.306324766308151,0.155390702155795,0.0359463841454684,0.0629984585537225
"ANKRD11",5108.79900157152,0.811461972764686,0.102197223329231,4.62436221373665e-16,5.74551596473187e-15
"ANKRD12",1338.03296369401,1.68316528772834,0.158708976391002,2.37174254990463e-27,6.49089602538196e-26
"ANKRD13A",2162.55356362368,0.157709571598086,0.0692942375635156,0.0202600439295775,0.0382732032880176
"ANKRD13B",239.389702866359,0.320574029909006,0.0935313437932074,0.000450637377046605,0.00124004694844001
"ANKRD13C",714.175357164315,0.0610146947027344,0.088857322757434,0.462834154531101,0.555695882091167
"ANKRD13D",438.198535443949,-0.273445767078966,0.0865625577718395,0.00132904076894228,0.00333458356590372
"ANKRD16",239.918379284433,1.05940583979413,0.126767397557104,1.01751279532651e-17,1.47254451739653e-16
"ANKRD17",2687.92414852597,0.676381886530067,0.135964709403407,1.73076730412685e-07,8.25456908295671e-07
"ANKRD18A",725.81135917713,0.333450523189561,0.148383531832073,0.0171399966168636,0.0329538249334746
"ANKRD18B",34.2819960972689,0.195420376912574,0.239732171906652,0.338936540212563,0.432425559802896
"ANKRD18CP",6.11197969256084,-0.244809812274545,0.429937934959465,0.292093820714031,0.38166333718186
"ANKRD2",23.6051572694674,-2.15783153586189,0.394799666708969,4.00073417412494e-09,2.37523075844831e-08
"ANKRD20A1",11.3448864834453,0.182082942384198,0.39231734688683,0.427772320665413,0.521923200821398
"ANKRD20A11P",4.86716252596717,-1.72340827828424,0.82922227773947,0.00215431399571178,0.00514611649048278
"ANKRD23",28.9641250023826,-0.0431014910963015,0.263099983287664,0.847959664055151,0.888479022459177
"ANKRD24",15.715805169373,0.905825246997842,0.430955963411716,0.00514238410969541,0.0112587980326982
"ANKRD26",681.518506938759,0.265272798407163,0.141547309225684,0.049419632809713,0.0834579123905627
"ANKRD27",390.497417712499,0.58113883431743,0.101214300858632,3.90188311459772e-09,2.32111363180115e-08
"ANKRD28",424.639604389283,-0.00365299862258663,0.117679748627929,0.971139736284555,0.978838597203093
"ANKRD29",49.3556921057134,-0.389844634499356,0.219311948646726,0.0435878556659103,0.0748035583906952
"ANKRD33",15.2130440071191,2.19560877827037,0.501482466897536,8.04331892969529e-07,3.4693285512205e-06
"ANKRD33B",518.740564113979,0.816771647729745,0.148985182593308,1.00681027433948e-08,5.65802978030484e-08
"ANKRD34A",253.380655576238,-0.21186921566015,0.150642089912169,0.135759525274232,0.200202968306095
"ANKRD34B",15.1290531086041,-0.0950745884360059,0.348366029786422,0.671302548049098,0.743926955508292
"ANKRD34C",58.1241844335691,-0.0218854805660561,0.231528234544339,0.91234154967061,0.937290243029786
"ANKRD35",11.9367508878718,-0.844289193202981,0.41836347943071,0.00701734968052654,0.0148611397472167
"ANKRD36",205.709455072785,-0.0343428131228511,0.160951675655852,0.819455473085112,0.865682638875828
"ANKRD36B",101.209504743677,0.0316714203045169,0.201596778305352,0.858614080344585,0.897177935931005
"ANKRD36C",136.571061759518,0.0169768828275182,0.200497623634423,0.927802341129028,0.948352602046792
"ANKRD37",435.528335959141,2.26706322764001,0.142234178433802,2.11960529525715e-58,2.608412230694e-56
"ANKRD39",211.080229872768,-0.552270247836442,0.129177117318479,8.5653073043679e-06,3.19938899723344e-05
"ANKRD40",959.465383249221,-0.384370998066036,0.0759396662964609,2.72161548680612e-07,1.26014906978046e-06
