"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"SALL1",162.366903916586,0.395874436512106,0.128699550327084,0.000354356473982827,0.00317971657457805
"SALL2",848.666203079654,-0.0493330631584226,0.0996954221690065,0.565822125520899,0.742203049138791
"SALL3",108.521727746105,0.451149294810576,0.187147898858096,0.0018926967304917,0.0125371233447802
"SALL4",47.5131239262449,-0.0332746137125593,0.164038614411837,0.71962946142173,0.845715387326648
"SAMD1",1366.85941843559,-0.152992074996287,0.0881191868988156,0.0537094302996239,0.159044621725355
"SAMD10",302.757841929551,-0.032131046797814,0.104531312876888,0.691813183049643,0.827664603744908
"SAMD11",117.168889627321,-0.316402658516221,0.205574920584402,0.0219732668245768,0.0841061552733011
"SAMD12",251.129740722864,-0.106262891641771,0.132488051679419,0.295055116914633,0.502877997454844
"SAMD13",13.0692609097267,-0.0922753894764162,0.195355191233335,0.298550108856301,0.506781596059912
"SAMD14",299.738642859755,-0.612586633212885,0.123302823535921,6.46037961581519e-08,1.8346666758257e-06
"SAMD15",36.440114664724,-0.564956842895285,0.28924779952255,0.00345230729760524,0.0201719118261236
"SAMD4A",3524.50918968455,0.448736441913504,0.0959856181803399,3.22096379403934e-07,7.6667414518647e-06
"SAMD4A-AS1",10.3290890061638,-0.00447589313020583,0.190891952909865,0.932268101264671,0.968449392250706
"SAMD4B",2268.04369137379,0.0800647538841504,0.0753563309297487,0.2494937632355,0.453204094736259
"SAMD5",37.0054403839262,-0.0371462485538556,0.173587496544782,0.665122433852473,0.809880184518368
"SAMD8",617.492810976977,0.00667038004949791,0.091130928826486,0.92803864905405,0.966339674286984
"SAMD9",19.9542778526865,-0.322822291504116,0.380746089767638,0.0307935788400491,0.107229228338111
"SAMD9L",7.87299139033084,-0.14263400426092,0.254499398533266,0.0675260582117112,0.187645721978336
"SAMHD1",408.769317138759,-0.0126913887257356,0.0780889653327604,0.876264211009922,0.938965737304199
"SAMM50",1436.02081523114,-0.00566747434732777,0.0643897583223848,0.925369782716981,0.964945339586674
"SANBR",203.504930616801,-0.000416470171603116,0.115378928321051,0.988817917234607,0.995067588410581
"SAP130",713.462820765161,0.100968615679002,0.0943375976124083,0.217476793725957,0.411780950230538
"SAP18",2965.40234019623,0.0317792607395698,0.0729582278423642,0.640296163721174,0.79395144298554
"SAP25",31.5823947108751,-0.095220046628357,0.189437003255015,0.312211009865611,0.521167958703414
"SAP30",1161.7170885821,0.192911026018726,0.110591062117195,0.0397132695688345,0.128840216373784
"SAP30-DT",200.144823735324,-0.235934097229866,0.170617083691901,0.0500256835473944,0.151737863073837
"SAP30BP",1166.00333255551,-0.00300924335666122,0.0591157704381296,0.956929179893815,0.980385850001376
"SAP30L",1077.41700640262,0.239094190427375,0.0635345825490169,6.32653953507663e-05,0.000732695903902281
"SAP30L-AS1",14.4877515866757,-0.112572858866212,0.204886917136252,0.226873026674098,0.42367431119381
"SAPCD1",12.5511913938392,0.00628650185032711,0.193842361416809,0.853760219825038,0.926764018999996
"SAPCD1-AS1",26.8102785012678,-0.109579902577345,0.199394940616702,0.248219881752312,0.45164933221679
"SAPCD2",343.835446460902,0.748572854346107,0.128471323634729,4.22179564768103e-10,2.11557571375484e-08
"SAR1A",2390.51909704276,0.0505278921181312,0.0605502432878483,0.397413247780944,0.60327311004089
"SAR1B",1450.22092750338,0.0523885454112856,0.0765519788074875,0.457330201010682,0.654984034223991
"SARAF",7195.29536730389,-0.114966122534969,0.0658004710832262,0.0650583411099578,0.183049638885628
"SARDH",131.627664925097,-0.815697176149721,0.139293529716822,3.61446697467671e-10,1.836677178986e-08
"SARM1",500.477740099526,-0.274468537014628,0.113770662720798,0.00484813867370816,0.0262638140840342
"SARNP",1185.105891572,0.0429686452812786,0.0816700924760062,0.563525260504321,0.740418714403837
"SARS1",2323.51645252236,0.0639429711595258,0.0680519211736204,0.323801105877129,0.532796252985016
"SARS2",389.130796391621,0.064381742868142,0.0924726290548477,0.428931148508809,0.630740081005068
"SART1",1003.70608076434,-0.0239773038850909,0.0725093789662557,0.720736718373195,0.846741605102682
"SART3",829.51098612241,0.108191790717315,0.0806073754026333,0.140141279944887,0.309542827131015
"SASH1",501.608430617753,0.00531872964332571,0.0936859755995162,0.954039845679552,0.979376961090858
"SASS6",152.426319106724,0.238606541122833,0.172782615947556,0.048879731024333,0.149389142461595
"SAT1",3892.55155676436,0.228341776198217,0.122234626353864,0.0254910993682744,0.0938408603117795
"SAT2",854.236703429236,-0.147400381249233,0.0935508939455752,0.0736631965879221,0.199307093370552
"SATB1",1227.80543896631,0.315889884352772,0.123694231095936,0.00247810027899742,0.0155655673774525
"SATB2",88.061173236907,-0.319889301373326,0.168753282186901,0.0115418661774684,0.0515282228900304
"SATL1",13.5546774524636,0.0916476168021298,0.195988982053504,0.299030945227206,0.507451590170073
"SAV1",782.158741243132,-0.00666052970722129,0.0635721565390311,0.910773953236708,0.957344614413251
"SAXO2",20.5684518557269,-0.0712611140494282,0.179571678814971,0.436587108006733,0.637283219343874
"SAYSD1",308.013733518147,0.272439644744172,0.107695376341532,0.00357192196634964,0.020742808262632
"SBDS",2013.7133629468,0.147268126992601,0.0921651021331114,0.0699299503365429,0.19199802877939
"SBDSP1",422.703297816037,0.3015224682516,0.123702779258529,0.00378986210899569,0.0217301443904064
"SBDSP1_2",29.4169530939063,-0.005092177116333,0.195502911067082,0.801705682302094,0.896476111295927
"SBF1",4166.2351706294,0.113270454636315,0.0769361761301259,0.110407954761155,0.264085667278765
"SBF2",1227.68858706259,0.217970882717873,0.0937000679552506,0.00942582527612579,0.0438705090449931
"SBF2-AS1",263.629395043146,0.11588494056623,0.102933790342296,0.195386086048549,0.384897991906053
"SBK1",120.343202547093,-0.14147190358228,0.131529895365858,0.165689506574468,0.345831680389077
"SBK2",29.1770191577601,-0.137338820415572,0.207087786779467,0.183752493659767,0.370041479495178
"SBNO1",1543.65565849017,0.124463222622697,0.088940479190453,0.116525236732725,0.274142884256259
"SBNO1-AS1",50.600429112192,0.0156281150755127,0.134228427242526,0.880519359958965,0.941128225799567
"SBNO2",1724.55960409869,-0.570016031595563,0.0731226516016281,7.71880375723405e-16,1.50143182761682e-13
"SBSPON",48.1405240393015,-1.34711107462951,0.333784283276586,2.68698443528725e-06,4.90985337720669e-05
"SC5D",2746.0434367526,-0.00485501257056115,0.101816574319993,0.9526395341753,0.978550290910862
"SCAF1",2694.25341190609,0.0202588610812707,0.0642452052132671,0.734939372541084,0.855152328376421
"SCAF11",2723.49317660424,0.190226038931368,0.124498561111721,0.0580929638355525,0.168359775037671
"SCAF4",762.602356566286,0.0728545764483029,0.0937348850081839,0.376901069985762,0.584395333508394
"SCAF8",1207.74454052901,0.200274434521035,0.0893330027015237,0.0126452871613174,0.0552410636919179
"SCAI",542.459957889877,0.266829532002012,0.111836375274156,0.00584303392340118,0.0303085360820746
"SCAMP1",1703.39501405446,0.128514841285898,0.0984923657378194,0.134333313832876,0.301531499745667
"SCAMP1-AS1",184.216604751545,0.0674387852342399,0.117587113313438,0.477533766433324,0.672428614309099
"SCAMP2",1385.77019313951,0.081009759649668,0.0621861301477057,0.168764356536309,0.350200672664063
"SCAMP3",1129.01053152847,-0.0261665140058556,0.0741949873075289,0.707302763451566,0.837814758436278
"SCAMP4",790.741379743281,-0.167439368427416,0.0790439429740432,0.0205046943543366,0.0800308186865516
"SCAMP5",635.677013286621,-0.309815851473484,0.0979633213443604,0.000459730189855917,0.00396024720690169
"SCAND1",1123.07661937862,0.00809520000183296,0.103156680302344,0.927406814096501,0.96612664941006
"SCAND3",156.071710705165,0.140369026234304,0.152745675357881,0.19370164678142,0.382664932868395
"SCAP",2104.27942609072,-0.0563588089738119,0.0719404379668408,0.389899668863309,0.596522751161811
"SCAPER",726.484936059031,0.19617242738961,0.101462798394947,0.0248040334437597,0.0921176277966769
"SCARA3",494.863950273438,0.0118551508301133,0.0833176531937071,0.875153009375368,0.938675833729459
"SCARB1",4040.92315340841,0.0292296536303585,0.100761130530213,0.728348271111815,0.851426185745572
"SCARB2",6012.64523602566,-0.12070150814076,0.0529751764976126,0.0142091292675804,0.0605092157369419
"SCARF1",199.61885049989,0.0651751622539009,0.124621256122156,0.503728472726501,0.694303266271614
"SCARF2",881.754257661284,-0.113510475434337,0.0903909629785797,0.15667574324881,0.33293365386714
"SCARNA9",13.761366950635,0.010047550468203,0.179743042400239,0.891634292265955,0.946743226336276
"SCART1",38.0278109576757,-0.233859626379065,0.277930926837713,0.0627550135328238,0.178440458159192
"SCAT8",7.54689627522962,-2.94246632233229,0.865606858270166,4.85508765183567e-05,0.00058905791832131
"SCCPDH",1644.46933972207,-0.0167479430435019,0.0609131315370019,0.758474896673835,0.870654328303111
"SCD",11877.2922411981,0.39899629068728,0.080114264242366,1.18558183866407e-07,3.12185960137307e-06
"SCD5",384.857461196717,-0.0082102687948391,0.0964401150609424,0.922463520162695,0.963696297051464
"SCFD1",1050.36943410514,-0.0014903216683219,0.103885661915939,0.968825328367678,0.986165723901452
"SCFD2",234.248621812701,-0.144507210449727,0.0992242271657006,0.0926472755545839,0.234109402819168
"SCG2",144.069333809984,-1.1157773376442,0.254522065995875,6.33463554318632e-07,1.38733119825957e-05
"SCG5",238.603050029244,-0.821919176455336,0.139033622507232,2.55668005405882e-10,1.34448669121872e-08
"SCGB2B2",25.6755500076624,0.00646955580261578,0.167118247035813,0.942475386568675,0.974027636141872
"SCHIP1",1077.36858197915,0.367382485582333,0.0940505277139977,1.96632424451501e-05,0.00027362158140982
"SCIRT",200.011571983055,-0.292787771361367,0.145928099094989,0.0111153058528902,0.0500188763380059
"SCLT1",197.613624927987,0.116939098059498,0.137288146716504,0.265843836803806,0.471713095417445
"SCLY",227.211511396299,-0.00918654825518011,0.108066738660685,0.918542448668972,0.961395167501414
"SCMH1",2194.15008983309,0.130381509754175,0.0859159573328714,0.0909426307534209,0.231320611688609
"SCML1",197.257036862314,0.131419329369199,0.117592237529476,0.171601953887087,0.35372371761821
"SCML2",137.134681202199,0.488430578170523,0.159822634968013,0.000256783109700374,0.00242063911124532
"SCN10A",9.89665125013917,0.121436858947696,0.231573787002608,0.115788163030175,0.27318872075929
"SCN11A",10.8397594236617,0.480620778697557,1.2998484590702,0.0115517777741482,0.0515470300775383
"SCN1A",35.8961343820986,-0.787546632873588,0.311417840831759,0.000613314984733505,0.00500670941959797
"SCN1B",179.188783064494,-0.96753560886828,0.146502861316654,2.75444036761349e-12,2.35036916274189e-10
"SCN2A",28.254753953987,-0.90000667880788,0.441077128516647,0.00161319016435152,0.0110247865784356
"SCN2B",410.187788297013,-0.00909815746580896,0.101996179212412,0.915425772801677,0.960170013914439
"SCN3A",19.092045059536,-0.100771583968159,0.19645107610282,0.274424581931792,0.481413953369484
"SCN3B",160.214171447667,0.235421514857656,0.121520214090911,0.0193669547523846,0.0766836559737388
"SCN4A",8.72457856220526,0.205668234380761,0.355825194801651,0.0204313273585144,0.0798105618474467
"SCN4B",341.708034860411,0.321621220394857,0.144574664821243,0.00564889104034187,0.0295252688283137
"SCN5A",2779.91929229699,0.742048182120689,0.153501440648226,9.96814593473859e-08,2.67940207963479e-06
"SCN7A",52.4151472404483,-0.052003546126482,0.155478150396608,0.595437622500137,0.763514444819524
"SCN8A",128.992976696386,-0.0444741869763976,0.132498776329445,0.659530644754866,0.805941374665229
"SCN9A",172.695818834441,-0.913994816077449,0.176305177247608,1.38741763793595e-08,4.68253452803384e-07
"SCNM1",332.439038148777,0.0142350420025126,0.0899327006619698,0.862828654075414,0.932411610049238
"SCNN1D",114.537889556604,-0.272675075884878,0.157176468463867,0.0223433729956461,0.0852021071560965
